"12812: Kommunestyre- og fylkestingsvalget. Valgdeltakelse (prosent), etter region, alder, statistikkvariabel, fireårlig og kjønn"

"region";"alder";"Valgdeltakelse 2019 Begge kjønn"
"3001 Halden";"18-19 år";56.1
"3002 Moss";"18-19 år";57.7
"3003 Sarpsborg";"18-19 år";53.1
"3004 Fredrikstad";"18-19 år";56.8
"3005 Drammen";"18-19 år";57.6
"3006 Kongsberg";"18-19 år";58.1
"3007 Ringerike";"18-19 år";53.8
"3011 Hvaler";"18-19 år";63.0
"3012 Aremark";"18-19 år";78.6
"3013 Marker";"18-19 år";59.3
"3014 Indre Østfold";"18-19 år";52.8
"3015 Skiptvet";"18-19 år";61.5
"3016 Rakkestad";"18-19 år";57.0
"3017 Råde";"18-19 år";60.3
"3018 Våler (Viken)";"18-19 år";60.6
"3019 Vestby";"18-19 år";59.6
"3020 Nordre Follo";"18-19 år";64.1
"3021 Ås";"18-19 år";57.2
"3022 Frogn";"18-19 år";61.3
"3023 Nesodden";"18-19 år";66.1
"3024 Bærum";"18-19 år";71.5
"3025 Asker";"18-19 år";68.6
"3026 Aurskog-Høland";"18-19 år";57.5
"3027 Rælingen";"18-19 år";54.6
"3028 Enebakk";"18-19 år";53.9
"3029 Lørenskog";"18-19 år";60.6
"3030 Lillestrøm";"18-19 år";60.7
"3031 Nittedal";"18-19 år";67.0
"3032 Gjerdrum";"18-19 år";59.8
"3033 Ullensaker";"18-19 år";54.1
"3034 Nes";"18-19 år";54.3
"3035 Eidsvoll";"18-19 år";53.3
"3036 Nannestad";"18-19 år";53.9
"3037 Hurdal";"18-19 år";65.5
"3038 Hole";"18-19 år";60.7
"3039 Flå";"18-19 år";54.6
"3040 Nesbyen";"18-19 år";63.2
"3041 Gol";"18-19 år";56.5
"3042 Hemsedal";"18-19 år";56.9
"3043 Ål";"18-19 år";59.3
"3044 Hol";"18-19 år";52.9
"3045 Sigdal";"18-19 år";58.3
"3046 Krødsherad";"18-19 år";48.5
"3047 Modum";"18-19 år";55.7
"3048 Øvre Eiker";"18-19 år";51.8
"3049 Lier";"18-19 år";61.4
"3050 Flesberg";"18-19 år";54.7
"3051 Rollag";"18-19 år";57.1
"3052 Nore og Uvdal";"18-19 år";53.4
"3053 Jevnaker";"18-19 år";60.9
"3054 Lunner";"18-19 år";61.4
"0301 Oslo kommune";"18-19 år";66.0
"3401 Kongsvinger";"18-19 år";50.5
"3403 Hamar";"18-19 år";57.5
"3405 Lillehammer";"18-19 år";62.1
"3407 Gjøvik";"18-19 år";52.7
"3411 Ringsaker";"18-19 år";47.4
"3412 Løten";"18-19 år";55.5
"3413 Stange";"18-19 år";58.5
"3414 Nord-Odal";"18-19 år";57.7
"3415 Sør-Odal";"18-19 år";49.8
"3416 Eidskog";"18-19 år";57.2
"3417 Grue";"18-19 år";46.7
"3418 Åsnes";"18-19 år";41.3
"3419 Våler (Innlandet)";"18-19 år";53.9
"3420 Elverum";"18-19 år";55.7
"3421 Trysil";"18-19 år";57.6
"3422 Åmot";"18-19 år";63.9
"3423 Stor-Elvdal";"18-19 år";32.6
"3424 Rendalen";"18-19 år";75.6
"3425 Engerdal";"18-19 år";61.2
"3426 Tolga";"18-19 år";62.2
"3427 Tynset";"18-19 år";65.0
"3428 Alvdal";"18-19 år";64.1
"3429 Folldal";"18-19 år";67.6
"3430 Os";"18-19 år";59.2
"3431 Dovre";"18-19 år";48.0
"3432 Lesja";"18-19 år";64.7
"3433 Skjåk";"18-19 år";58.6
"3434 Lom";"18-19 år";49.1
"3435 Vågå";"18-19 år";51.6
"3436 Nord-Fron";"18-19 år";56.6
"3437 Sel";"18-19 år";60.8
"3438 Sør-Fron";"18-19 år";43.4
"3439 Ringebu";"18-19 år";51.4
"3440 Øyer";"18-19 år";58.7
"3441 Gausdal";"18-19 år";54.1
"3442 Østre Toten";"18-19 år";47.4
"3443 Vestre Toten";"18-19 år";51.8
"3446 Gran";"18-19 år";53.3
"3447 Søndre Land";"18-19 år";54.9
"3448 Nordre Land";"18-19 år";46.4
"3449 Sør-Aurdal";"18-19 år";46.9
"3450 Etnedal";"18-19 år";35.7
"3451 Nord-Aurdal";"18-19 år";44.4
"3452 Vestre Slidre";"18-19 år";66.0
"3453 Øystre Slidre";"18-19 år";63.5
"3454 Vang";"18-19 år";55.9
"3801 Horten";"18-19 år";58.9
"3802 Holmestrand";"18-19 år";55.5
"3803 Tønsberg";"18-19 år";61.7
"3804 Sandefjord";"18-19 år";54.9
"3805 Larvik";"18-19 år";50.2
"3806 Porsgrunn";"18-19 år";55.1
"3807 Skien";"18-19 år";53.2
"3808 Notodden";"18-19 år";57.0
"3811 Færder";"18-19 år";63.0
"3812 Siljan";"18-19 år";73.2
"3813 Bamble";"18-19 år";52.6
"3814 Kragerø";"18-19 år";48.4
"3815 Drangedal";"18-19 år";46.4
"3816 Nome";"18-19 år";42.8
"3817 Midt-Telemark";"18-19 år";48.2
"3818 Tinn";"18-19 år";52.1
"3819 Hjartdal";"18-19 år";55.6
"3820 Seljord";"18-19 år";57.6
"3821 Kviteseid";"18-19 år";56.3
"3822 Nissedal";"18-19 år";55.6
"3823 Fyresdal";"18-19 år";71.0
"3824 Tokke";"18-19 år";63.3
"3825 Vinje";"18-19 år";40.5
"4201 Risør";"18-19 år";45.8
"4202 Grimstad";"18-19 år";53.6
"4203 Arendal";"18-19 år";50.8
"4204 Kristiansand";"18-19 år";60.6
"4205 Lindesnes";"18-19 år";53.6
"4206 Farsund";"18-19 år";49.0
"4207 Flekkefjord";"18-19 år";56.0
"4211 Gjerstad";"18-19 år";32.8
"4212 Vegårshei";"18-19 år";88.6
"4213 Tvedestrand";"18-19 år";57.2
"4214 Froland";"18-19 år";53.3
"4215 Lillesand";"18-19 år";54.6
"4216 Birkenes";"18-19 år";53.0
"4217 Åmli";"18-19 år";57.1
"4218 Iveland";"18-19 år";48.8
"4219 Evje og Hornnes";"18-19 år";53.7
"4220 Bygland";"18-19 år";55.3
"4221 Valle";"18-19 år";38.7
"4222 Bykle";"18-19 år";:
"4223 Vennesla";"18-19 år";49.9
"4224 Åseral";"18-19 år";69.4
"4225 Lyngdal";"18-19 år";55.1
"4226 Hægebostad";"18-19 år";72.1
"4227 Kvinesdal";"18-19 år";52.2
"4228 Sirdal";"18-19 år";61.2
"1101 Eigersund";"18-19 år";59.1
"1103 Stavanger";"18-19 år";62.3
"1106 Haugesund";"18-19 år";53.9
"1108 Sandnes";"18-19 år";57.3
"1111 Sokndal";"18-19 år";60.3
"1112 Lund";"18-19 år";45.9
"1114 Bjerkreim";"18-19 år";75.9
"1119 Hå";"18-19 år";59.7
"1120 Klepp";"18-19 år";57.8
"1121 Time";"18-19 år";64.1
"1122 Gjesdal";"18-19 år";57.7
"1124 Sola";"18-19 år";60.5
"1127 Randaberg";"18-19 år";63.9
"1130 Strand";"18-19 år";57.9
"1133 Hjelmeland";"18-19 år";51.5
"1134 Suldal";"18-19 år";42.6
"1135 Sauda";"18-19 år";46.1
"1144 Kvitsøy";"18-19 år";:
"1145 Bokn";"18-19 år";:
"1146 Tysvær";"18-19 år";61.5
"1149 Karmøy";"18-19 år";50.8
"1151 Utsira";"18-19 år";:
"1160 Vindafjord";"18-19 år";54.1
"4601 Bergen";"18-19 år";66.2
"4602 Kinn";"18-19 år";48.6
"4611 Etne";"18-19 år";56.7
"4612 Sveio";"18-19 år";57.1
"4613 Bømlo";"18-19 år";59.7
"4614 Stord";"18-19 år";50.4
"4615 Fitjar";"18-19 år";58.1
"4616 Tysnes";"18-19 år";45.6
"4617 Kvinnherad";"18-19 år";54.3
"4618 Ullensvang";"18-19 år";51.3
"4619 Eidfjord";"18-19 år";:
"4620 Ulvik";"18-19 år";61.1
"4621 Voss";"18-19 år";59.6
"4622 Kvam";"18-19 år";61.3
"4623 Samnanger";"18-19 år";57.9
"4624 Bjørnafjorden";"18-19 år";67.8
"4625 Austevoll";"18-19 år";55.3
"4626 Øygarden";"18-19 år";59.4
"4627 Askøy";"18-19 år";60.2
"4628 Vaksdal";"18-19 år";59.8
"4629 Modalen";"18-19 år";:
"4630 Osterøy";"18-19 år";66.7
"4631 Alver";"18-19 år";63.2
"4632 Austrheim";"18-19 år";53.0
"4633 Fedje";"18-19 år";:
"4634 Masfjorden";"18-19 år";63.4
"4635 Gulen";"18-19 år";46.3
"4636 Solund";"18-19 år";:
"4637 Hyllestad";"18-19 år";64.5
"4638 Høyanger";"18-19 år";55.8
"4639 Vik";"18-19 år";53.0
"4640 Sogndal";"18-19 år";61.6
"4641 Aurland";"18-19 år";66.7
"4642 Lærdal";"18-19 år";60.4
"4643 Årdal";"18-19 år";59.1
"4644 Luster";"18-19 år";63.7
"4645 Askvoll";"18-19 år";47.0
"4646 Fjaler";"18-19 år";61.2
"4647 Sunnfjord";"18-19 år";62.2
"4648 Bremanger";"18-19 år";53.1
"4649 Stad";"18-19 år";58.9
"4650 Gloppen";"18-19 år";55.7
"4651 Stryn";"18-19 år";50.5
"1505 Kristiansund";"18-19 år";45.8
"1506 Molde";"18-19 år";56.0
"1507 Ålesund";"18-19 år";56.4
"1511 Vanylven";"18-19 år";43.3
"1514 Sande (Møre og Romsdal)";"18-19 år";48.3
"1515 Herøy (Møre og Romsdal)";"18-19 år";51.1
"1516 Ulstein";"18-19 år";53.9
"1517 Hareid";"18-19 år";48.0
"1520 Ørsta";"18-19 år";53.3
"1525 Stranda";"18-19 år";59.6
"1528 Sykkylven";"18-19 år";66.7
"1531 Sula";"18-19 år";54.7
"1532 Giske";"18-19 år";54.3
"1535 Vestnes";"18-19 år";42.8
"1539 Rauma";"18-19 år";58.2
"1547 Aukra";"18-19 år";48.0
"1554 Averøy";"18-19 år";53.7
"1557 Gjemnes";"18-19 år";47.2
"1560 Tingvoll";"18-19 år";48.5
"1563 Sunndal";"18-19 år";60.8
"1566 Surnadal";"18-19 år";56.1
"1573 Smøla";"18-19 år";58.5
"1576 Aure";"18-19 år";47.3
"1577 Volda";"18-19 år";57.3
"1578 Fjord";"18-19 år";43.2
"1579 Hustadvika";"18-19 år";48.4
"5001 Trondheim";"18-19 år";64.1
"5006 Steinkjer";"18-19 år";54.3
"5007 Namsos";"18-19 år";48.9
"5014 Frøya";"18-19 år";52.8
"5020 Osen";"18-19 år";:
"5021 Oppdal";"18-19 år";61.3
"5022 Rennebu";"18-19 år";61.2
"5025 Røros";"18-19 år";61.8
"5026 Holtålen";"18-19 år";67.5
"5027 Midtre Gauldal";"18-19 år";54.7
"5028 Melhus";"18-19 år";60.3
"5029 Skaun";"18-19 år";59.6
"5031 Malvik";"18-19 år";66.4
"5032 Selbu";"18-19 år";56.7
"5033 Tydal";"18-19 år";:
"5034 Meråker";"18-19 år";59.3
"5035 Stjørdal";"18-19 år";58.3
"5036 Frosta";"18-19 år";53.6
"5037 Levanger";"18-19 år";57.6
"5038 Verdal";"18-19 år";52.9
"5041 Snåase - Snåsa";"18-19 år";61.5
"5042 Lierne";"18-19 år";41.2
"5043 Raarvihke - Røyrvik";"18-19 år";:
"5044 Namsskogan";"18-19 år";:
"5045 Grong";"18-19 år";54.4
"5046 Høylandet";"18-19 år";63.4
"5047 Overhalla";"18-19 år";47.9
"5049 Flatanger";"18-19 år";61.5
"5052 Leka";"18-19 år";:
"5053 Inderøy";"18-19 år";62.4
"5054 Indre Fosen";"18-19 år";63.1
"5055 Heim";"18-19 år";50.9
"5056 Hitra";"18-19 år";38.3
"5057 Ørland";"18-19 år";52.3
"5058 Åfjord";"18-19 år";52.0
"5059 Orkland";"18-19 år";49.0
"5060 Nærøysund";"18-19 år";46.8
"5061 Rindal";"18-19 år";61.4
"1804 Bodø";"18-19 år";54.5
"1806 Narvik";"18-19 år";47.7
"1811 Bindal";"18-19 år";65.6
"1812 Sømna";"18-19 år";62.0
"1813 Brønnøy";"18-19 år";54.0
"1815 Vega";"18-19 år";43.8
"1816 Vevelstad";"18-19 år";:
"1818 Herøy (Nordland)";"18-19 år";41.3
"1820 Alstahaug";"18-19 år";43.2
"1822 Leirfjord";"18-19 år";60.7
"1824 Vefsn";"18-19 år";52.7
"1825 Grane";"18-19 år";53.3
"1826 Hattfjelldal";"18-19 år";54.8
"1827 Dønna";"18-19 år";56.1
"1828 Nesna";"18-19 år";64.6
"1832 Hemnes";"18-19 år";50.5
"1833 Rana";"18-19 år";49.0
"1834 Lurøy";"18-19 år";60.4
"1835 Træna";"18-19 år";:
"1836 Rødøy";"18-19 år";66.1
"1837 Meløy";"18-19 år";51.6
"1838 Gildeskål";"18-19 år";31.0
"1839 Beiarn";"18-19 år";:
"1840 Saltdal";"18-19 år";48.0
"1841 Fauske - Fuossko";"18-19 år";49.4
"1845 Sørfold";"18-19 år";60.5
"1848 Steigen";"18-19 år";32.9
"1851 Lødingen";"18-19 år";48.9
"1853 Evenes - Evenássi";"18-19 år";79.4
"1856 Røst";"18-19 år";:
"1857 Værøy";"18-19 år";:
"1859 Flakstad";"18-19 år";53.1
"1860 Vestvågøy";"18-19 år";49.8
"1865 Vågan";"18-19 år";37.7
"1866 Hadsel";"18-19 år";55.6
"1867 Bø (Nordland)";"18-19 år";51.7
"1868 Øksnes";"18-19 år";42.2
"1870 Sortland - Suortá";"18-19 år";44.6
"1871 Andøy";"18-19 år";54.8
"1874 Moskenes";"18-19 år";33.2
"1875 Hamarøy";"18-19 år";43.8
"5401 Tromsø";"18-19 år";58.9
"5402 Harstad";"18-19 år";49.3
"5403 Alta";"18-19 år";39.4
"5404 Vardø";"18-19 år";52.1
"5405 Vadsø";"18-19 år";36.7
"5406 Hammerfest";"18-19 år";44.0
"5411 Kvæfjord";"18-19 år";39.0
"5412 Tjeldsund";"18-19 år";35.7
"5413 Ibestad";"18-19 år";64.7
"5414 Gratangen";"18-19 år";53.6
"5415 Loabák - Lavangen";"18-19 år";55.6
"5416 Bardu";"18-19 år";54.9
"5417 Salangen";"18-19 år";46.4
"5418 Målselv";"18-19 år";60.4
"5419 Sørreisa";"18-19 år";40.2
"5420 Dyrøy";"18-19 år";64.7
"5421 Senja";"18-19 år";41.5
"5422 Balsfjord";"18-19 år";42.1
"5423 Karlsøy";"18-19 år";49.5
"5424 Lyngen";"18-19 år";59.6
"5425 Storfjord - Omasvuotna - Omasvuono";"18-19 år";56.6
"5426 Gáivuotna - Kåfjord - Kaivuono";"18-19 år";43.5
"5427 Skjervøy";"18-19 år";49.3
"5428 Nordreisa";"18-19 år";46.7
"5429 Kvænangen";"18-19 år";57.4
"5430 Guovdageaidnu - Kautokeino";"18-19 år";38.4
"5432 Loppa";"18-19 år";:
"5433 Hasvik";"18-19 år";28.6
"5434 Måsøy";"18-19 år";32.0
"5435 Nordkapp";"18-19 år";72.7
"5436 Porsanger - Porsángu - Porsanki";"18-19 år";51.1
"5437 Kárásjohka - Karasjok";"18-19 år";66.2
"5438 Lebesby";"18-19 år";50.0
"5439 Gamvik";"18-19 år";22.3
"5440 Berlevåg";"18-19 år";:
"5441 Deatnu - Tana";"18-19 år";50.0
"5442 Unjárga - Nesseby";"18-19 år";:
"5443 Båtsfjord";"18-19 år";50.0
"5444 Sør-Varanger";"18-19 år";45.2
"2111 Longyearbyen";"18-19 år";.
